message,label
Ill call you right back,ham
Hotstop on Cheyyi,ham
Pgp unit5 notes sent check your email,ham
Recharge cheyyava 22 rupees needed,ham
Ill call you right back just 5 minutes,ham
You have initiated registration on PhonePe complete verification,ham
You have initiated registration on VA-PHONPE complete it now,ham
Dear bigbasketeer help us serve you better feedback survey,ham
AD-ISATHI Mee peru meeda enni simlu unnayo telusukova official check,ham
JA-ISATHI Mee peru meeda enni simlu unnayo telusukova check now,ham
Mee Jio number 7013933655 yokka information official Jio message,ham
HSBC TravelOne Credit Limited Pre-sale Delhi Capitals tickets for HSBC,ham
VK-COKETH Your opinions matter the most to us Share feedback survey,ham
AD-ARWGOV CSK CERT-In advises you to keep your software updated,ham
AD-IPBMSG Registration of your IPPB mobile banking successful,ham
AX-IPBMSG Registration of your IPPB mobile banking is confirmed,ham
CP-BIGBKT Dear bigbasketeer help us serve you better rate experience,ham
JM-BIGBKT Bigbasket login code 149718 do not share with anyone,ham
AD-SBIBNK 6415 is OTP for your ATM Cash Withdrawal do not share,ham
Never share your UPI PIN CVV or OTP with anyone AD-AIRBNK safety tip,ham
JD-SBIUPI Dear SBI UPI user Account debited transaction details,ham
VK-SBIUPI Dear UPI user Account X7645 debited by 50 transaction alert,ham
AX-SBIUPI Dear UPI user Account X7645 debited by 500 on 24Mar26,ham
Canara Bank An amount of INR 100.00 has been credited to your account,ham
VM-CANBNK An amount of INR 100.00 has been credited successfully,ham
VA-CANBNK Rs 100.00 paid thru Account XX7354 on 04-4-26 08:36:39,ham
AD-ATMSBI Dear SBI Customer Rs 10000 transaction alert notification,ham
JM-PHONPE You have initiated registration on PhonePe complete it,ham
JD-SHEINI To Register on SHEININDIA verification code sent,ham
CP-WADHWN Your OTP is 7660 Don't share this code with anyone,ham
VA-WINSPA Hi OTP to update your Mobile Number do not share,ham
JX-ADHAAR 395820 is OTP for Aadhaar do not share with anyone,ham
JX-blnkit Please use OTP 1250 to login do not share,ham
CP-blnkit Please use OTP 5869 to login do not share with anyone,ham
AD-650022 Your documents have been submitted Complete your bank KYC,ham
JM-HDFCBK UPI Activated You've linked your Bank Account to UPI,ham
JX-JUSPAY Your Apay Wallet balance is debited for INR 60.00,ham
AX-ICICIT Per day cooling period limit for UPI transactions is Rs 5000 via WA,ham
HPGas Bkng504966 Confirmed your HP gas booking is confirmed,ham
VM-EKARTL Ekart Update shipment out for delivery today,ham
AX-EKARTL Ekart Update OTP 213249 for your shipment,ham
VM-HPGASc HPGas Bkng504966 Confirmed booking successful,ham
BV-INPOST Item PT174069992IN is out for delivery today,ham
JD-LSELDH Dear Client please note A fresh YonoArcade update INR999,ham
Your OTP is 456123. Do not share with anyone.,ham
OTP for your transaction is 789456. Valid 10 mins.,ham
Your login OTP is 123456. Do not share.,ham
Use OTP 654321 to complete your payment.,ham
Your verification code is 456789.,ham
Aapka account band ho jayega abhi OTP bhejo,spam
Aapko 50000 rupee jeete hain abhi claim karo,spam
Tumhara SBI account block ho gaya turant call karo,spam
Free recharge pane ke liye yahan click karo,spam
Aapka KYC pending hai turant update karo,spam
Lottery jeeti hai abhi number par call karo,spam
Aapka account suspend hoga OTP share karo,spam
